airport,period,scheduled_departures,peak_hour_departures,mean_dep_delay_minutes,cancellation_share,mean_taxi_out,departures_above_p90,departures_above_p95,p90_hourly_departures,p95_hourly_departures,load
EWR,2023-02-01,10991,33.464,14.925,0.01092,23.397,295.0,156.0,28.0,30.0,1.1155
EWR,2023-03-01,12593,33.903,16.912,0.01064,24.659,417.0,204.0,28.0,30.0,1.1301
EWR,2023-04-01,12022,30.767,23.867,0.03702,25.045,218.0,38.0,28.0,30.0,1.0256
EWR,2023-05-01,12371,31.935,14.691,0.00356,23.347,222.0,72.0,28.0,30.0,1.0645
EWR,2023-06-01,11339,30.3,34.96,0.08475,25.283,78.0,23.0,28.0,30.0,1.01
EWR,2023-07-01,11646,30.419,37.613,0.1057,27.499,110.0,24.0,28.0,30.0,1.014
EWR,2023-08-01,11561,30.129,15.962,0.01548,24.102,81.0,11.0,28.0,30.0,1.0043
EWR,2023-09-01,11373,32.933,18.525,0.04924,24.836,265.0,133.0,28.0,30.0,1.0978
EWR,2023-10-01,11805,32.452,7.911,0.00169,22.186,266.0,99.0,28.0,30.0,1.0817
EWR,2023-11-01,10737,29.533,8.277,0.00075,21.244,76.0,7.0,28.0,30.0,0.9844
EWR,2023-12-01,10517,27.613,11.089,0.00114,21.199,24.0,3.0,28.0,30.0,0.9204
EWR,2024-01-01,10176,27.581,15.914,0.06938,22.003,19.0,0.0,28.0,30.0,0.9194
EWR,2024-02-01,9893,28.655,9.231,0.01253,20.814,36.0,2.0,28.0,30.0,0.9552
EWR,2024-03-01,10697,29.323,14.964,0.00608,21.554,45.0,5.0,28.0,30.0,0.9774
EWR,2024-04-01,10729,29.2,16.143,0.01361,23.81,59.0,2.0,28.0,30.0,0.9733
EWR,2024-05-01,11358,30.097,17.865,0.01321,24.146,138.0,29.0,28.0,30.0,1.0032
EWR,2024-06-01,10768,31.167,24.496,0.03622,25.36,148.0,50.0,28.0,30.0,1.0389
EWR,2024-07-01,11102,31.29,32.584,0.04963,28.642,139.0,50.0,28.0,30.0,1.043
EWR,2024-08-01,10861,30.613,25.803,0.07283,26.311,115.0,35.0,28.0,30.0,1.0204
EWR,2024-09-01,10572,32.333,10.568,0.00851,25.025,155.0,75.0,28.0,30.0,1.0778
EWR,2024-10-01,11260,32.452,10.982,0.01146,23.762,205.0,107.0,28.0,30.0,1.0817
EWR,2024-11-01,10698,29.0,15.494,0.00308,24.897,58.0,2.0,28.0,30.0,0.9667
EWR,2024-12-01,10865,28.806,17.661,0.0069,24.854,36.0,0.0,28.0,30.0,0.9602
FLL,2023-01-01,7600,27.452,23.623,0.01355,17.06,285.0,139.0,20.0,23.0,1.1935
FLL,2023-02-01,7133,28.071,16.258,0.00631,16.95,334.0,149.0,20.0,23.0,1.2205
FLL,2023-03-01,8570,25.742,22.859,0.01027,18.428,407.0,147.0,20.0,23.0,1.1192
FLL,2023-04-01,8071,25.767,35.184,0.08462,20.47,344.0,129.0,20.0,23.0,1.1203
FLL,2023-05-01,7426,25.355,19.591,0.00593,17.2,241.0,85.0,20.0,23.0,1.1024
FLL,2023-06-01,6890,22.833,40.194,0.03222,19.727,129.0,32.0,20.0,23.0,0.9928
FLL,2023-07-01,7137,23.194,37.395,0.0248,18.508,118.0,36.0,20.0,23.0,1.0084
FLL,2023-08-01,7024,21.29,30.421,0.01837,18.506,60.0,8.0,20.0,23.0,0.9257
FLL,2023-09-01,6571,22.833,20.803,0.01294,17.377,95.0,18.0,20.0,23.0,0.9928
FLL,2023-10-01,7290,25.065,15.453,0.00316,16.992,206.0,72.0,20.0,23.0,1.0898
FLL,2023-11-01,7683,24.933,19.724,0.0013,16.246,304.0,112.0,20.0,23.0,1.0841
FLL,2023-12-01,8440,25.548,21.413,0.0045,17.162,373.0,141.0,20.0,23.0,1.1108
FLL,2024-01-01,8460,26.097,22.217,0.03132,18.227,491.0,210.0,20.0,23.0,1.1346
FLL,2024-02-01,8111,27.138,18.104,0.00555,17.63,550.0,235.0,20.0,23.0,1.1799
FLL,2024-03-01,9235,26.903,28.095,0.01505,19.466,670.0,240.0,20.0,23.0,1.1697
FLL,2024-04-01,8299,27.133,18.09,0.00904,16.575,446.0,189.0,20.0,23.0,1.1797
FLL,2024-05-01,7892,26.161,21.601,0.00862,17.295,388.0,134.0,20.0,23.0,1.1374
FLL,2024-06-01,7290,25.1,22.741,0.04047,18.0,232.0,69.0,20.0,23.0,1.0913
FLL,2024-07-01,7391,24.806,26.797,0.02868,17.353,181.0,56.0,20.0,23.0,1.0785
FLL,2024-08-01,6885,25.387,26.547,0.035,18.059,173.0,79.0,20.0,23.0,1.1038
FLL,2024-09-01,6037,21.8,13.082,0.00596,19.62,97.0,14.0,20.0,23.0,0.9478
FLL,2024-10-01,6766,22.71,10.411,0.0102,16.492,117.0,38.0,20.0,23.0,0.9874
FLL,2024-11-01,7305,24.667,9.998,0.00137,15.266,302.0,113.0,20.0,23.0,1.0725
FLL,2024-12-01,8219,25.419,19.206,0.00535,16.971,379.0,141.0,20.0,23.0,1.1052
IAH,2023-01-01,9123,36.581,20.562,0.01282,19.92,465.0,134.0,29.0,33.0,1.1085
IAH,2023-02-01,8653,42.107,13.9,0.00786,19.384,530.0,264.0,29.0,33.0,1.276
IAH,2023-03-01,9726,42.226,16.199,0.00565,19.693,489.0,290.0,29.0,33.0,1.2796
IAH,2023-04-01,8753,38.633,24.402,0.0144,19.849,343.0,169.0,29.0,33.0,1.1707
IAH,2023-05-01,9395,37.839,23.374,0.01629,18.337,346.0,150.0,29.0,33.0,1.1466
IAH,2023-06-01,9385,40.6,28.477,0.03175,18.724,448.0,232.0,29.0,33.0,1.2303
IAH,2023-07-01,9775,39.839,26.195,0.01913,17.585,544.0,301.0,29.0,33.0,1.2072
IAH,2023-08-01,9786,42.194,15.544,0.0092,17.955,579.0,330.0,29.0,33.0,1.2786
IAH,2023-09-01,9283,41.367,15.196,0.0056,18.828,424.0,256.0,29.0,33.0,1.2535
IAH,2023-10-01,9918,43.355,13.151,0.00434,20.278,491.0,321.0,29.0,33.0,1.3138
IAH,2023-11-01,9019,42.533,8.856,0.00044,19.966,465.0,292.0,29.0,33.0,1.2889
IAH,2023-12-01,9076,42.774,10.402,0.00077,18.793,518.0,308.0,29.0,33.0,1.2962
IAH,2024-01-01,8933,40.742,23.132,0.06291,20.687,493.0,246.0,29.0,33.0,1.2346
IAH,2024-02-01,8464,40.345,9.736,0.00248,19.25,488.0,243.0,29.0,33.0,1.2226
IAH,2024-03-01,9557,39.161,18.795,0.00638,19.13,449.0,199.0,29.0,33.0,1.1867
IAH,2024-04-01,9288,40.067,15.541,0.00463,19.786,364.0,212.0,29.0,33.0,1.2141
IAH,2024-05-01,10125,41.065,39.652,0.03358,20.91,526.0,258.0,29.0,33.0,1.2444
IAH,2024-06-01,10028,42.067,26.644,0.01336,19.747,647.0,320.0,29.0,33.0,1.2747
IAH,2024-07-01,10383,42.71,38.423,0.07705,20.411,577.0,306.0,29.0,33.0,1.2942
IAH,2024-08-01,10284,42.065,19.676,0.01468,18.682,671.0,306.0,29.0,33.0,1.2747
IAH,2024-09-01,9502,39.7,11.251,0.00589,19.012,753.0,390.0,29.0,33.0,1.203
IAH,2024-10-01,10228,41.129,10.519,0.00508,18.796,984.0,512.0,29.0,33.0,1.2463
IAH,2024-11-01,9576,38.433,11.231,0.00219,20.141,632.0,274.0,29.0,33.0,1.1646
IAH,2024-12-01,9572,39.806,20.142,0.01181,20.132,616.0,281.0,29.0,33.0,1.2063
JFK,2023-01-01,10918,32.129,18.777,0.00742,24.136,327.0,122.0,27.0,30.0,1.071
JFK,2023-02-01,10567,33.321,14.886,0.01372,23.755,376.0,146.0,27.0,30.0,1.1107
JFK,2023-03-01,12158,34.548,18.26,0.01423,26.172,451.0,178.0,27.0,30.0,1.1516
JFK,2023-04-01,11638,33.5,22.091,0.03076,27.696,353.0,147.0,27.0,30.0,1.1167
JFK,2023-05-01,11822,33.258,13.149,0.00431,24.697,236.0,109.0,27.0,30.0,1.1086
JFK,2023-06-01,11014,31.767,24.223,0.04712,29.24,195.0,58.0,27.0,30.0,1.0589
JFK,2023-07-01,11188,31.097,35.008,0.08116,30.96,207.0,39.0,27.0,30.0,1.0366
JFK,2023-08-01,11130,29.323,20.235,0.01734,28.56,102.0,7.0,27.0,30.0,0.9774
JFK,2023-09-01,10760,31.133,23.746,0.0527,28.122,211.0,61.0,27.0,30.0,1.0378
JFK,2023-10-01,10920,31.871,12.245,0.00064,25.096,256.0,72.0,27.0,30.0,1.0624
JFK,2023-11-01,10520,32.3,10.339,0.00038,22.899,266.0,89.0,27.0,30.0,1.0767
JFK,2023-12-01,10413,31.774,13.904,0.00471,23.535,207.0,75.0,27.0,30.0,1.0591
JFK,2024-01-01,9471,27.935,17.019,0.02935,24.443,35.0,2.0,27.0,30.0,0.9312
JFK,2024-02-01,9242,27.966,12.137,0.01331,22.71,65.0,0.0,27.0,30.0,0.9322
JFK,2024-03-01,10153,29.29,17.035,0.00699,23.484,96.0,6.0,27.0,30.0,0.9763
JFK,2024-04-01,10152,29.467,14.55,0.00975,25.615,78.0,6.0,27.0,30.0,0.9822
JFK,2024-05-01,10627,31.581,16.948,0.00837,26.684,284.0,71.0,27.0,30.0,1.0527
JFK,2024-06-01,10455,30.7,21.161,0.03434,28.435,198.0,36.0,27.0,30.0,1.0233
JFK,2024-07-01,10870,31.194,27.893,0.03937,30.361,183.0,39.0,27.0,30.0,1.0398
JFK,2024-08-01,10862,32.161,23.986,0.06444,32.494,210.0,67.0,27.0,30.0,1.072
JFK,2024-09-01,10376,32.4,9.955,0.00231,27.202,285.0,96.0,27.0,30.0,1.08
JFK,2024-10-01,10732,33.29,7.595,0.00634,24.48,263.0,102.0,27.0,30.0,1.1097
JFK,2024-11-01,10140,33.0,7.559,0.0003,23.284,256.0,106.0,27.0,30.0,1.1
JFK,2024-12-01,10268,30.065,18.008,0.00497,25.944,161.0,46.0,27.0,30.0,1.0022
LAS,2023-01-01,15792,39.258,18.564,0.01843,17.585,231.0,98.0,35.0,38.0,1.0331
LAS,2023-02-01,14116,37.929,18.732,0.01644,17.417,120.0,53.0,35.0,38.0,0.9981
LAS,2023-03-01,15890,38.161,20.257,0.00969,18.387,217.0,76.0,35.0,38.0,1.0042
LAS,2023-04-01,15802,38.133,20.607,0.01968,17.472,167.0,48.0,35.0,38.0,1.0035
LAS,2023-05-01,16205,36.806,17.805,0.00963,19.367,88.0,10.0,35.0,38.0,0.9686
LAS,2023-06-01,15535,37.633,20.493,0.01101,18.575,151.0,38.0,35.0,38.0,0.9904
LAS,2023-07-01,15879,35.548,25.447,0.01404,19.188,64.0,10.0,35.0,38.0,0.9355
LAS,2023-08-01,15939,36.774,18.52,0.02497,18.622,114.0,13.0,35.0,38.0,0.9677
LAS,2023-09-01,16110,40.7,16.452,0.01049,19.674,447.0,175.0,35.0,38.0,1.0711
LAS,2023-10-01,17503,43.677,14.312,0.00428,19.559,633.0,292.0,35.0,38.0,1.1494
LAS,2023-11-01,16234,41.567,10.0,0.00277,18.101,416.0,181.0,35.0,38.0,1.0939
LAS,2023-12-01,15872,40.452,10.86,0.00221,17.058,306.0,134.0,35.0,38.0,1.0645
LAS,2024-01-01,14942,40.419,14.123,0.02503,16.86,359.0,177.0,35.0,38.0,1.0637
LAS,2024-02-01,14070,41.931,13.566,0.00782,17.406,401.0,222.0,35.0,38.0,1.1034
LAS,2024-03-01,16062,40.065,19.782,0.0094,17.616,281.0,127.0,35.0,38.0,1.0543
LAS,2024-04-01,15579,39.3,14.175,0.00302,17.646,290.0,121.0,35.0,38.0,1.0342
LAS,2024-05-01,16345,39.935,17.802,0.00673,17.688,313.0,125.0,35.0,38.0,1.0509
LAS,2024-06-01,15699,37.367,19.394,0.0065,18.96,139.0,31.0,35.0,38.0,0.9833
LAS,2024-07-01,16285,38.355,26.126,0.02647,18.722,183.0,50.0,35.0,38.0,1.0093
LAS,2024-08-01,16089,41.0,17.128,0.00833,18.648,494.0,207.0,35.0,38.0,1.0789
LAS,2024-09-01,15672,43.0,12.889,0.00313,19.346,641.0,327.0,35.0,38.0,1.1316
LAS,2024-10-01,17195,45.839,10.448,0.00349,19.103,933.0,529.0,35.0,38.0,1.2063
LAS,2024-11-01,15733,44.1,9.729,0.00229,16.788,511.0,245.0,35.0,38.0,1.1605
LAS,2024-12-01,15581,41.355,12.987,0.00424,16.557,377.0,158.0,35.0,38.0,1.0883
LAX,2023-01-01,15424,49.71,15.348,0.01076,17.516,451.0,191.0,37.0,44.0,1.1298
LAX,2023-02-01,13973,52.214,18.125,0.01524,16.874,455.0,230.0,37.0,44.0,1.1867
LAX,2023-03-01,15910,55.613,16.25,0.01025,17.259,677.0,360.0,37.0,44.0,1.2639
LAX,2023-04-01,15660,53.233,13.252,0.01194,16.755,540.0,277.0,37.0,44.0,1.2098
LAX,2023-05-01,16736,52.032,12.106,0.0049,17.054,569.0,249.0,37.0,44.0,1.1826
LAX,2023-06-01,16779,54.867,17.976,0.01311,16.782,702.0,333.0,37.0,44.0,1.247
LAX,2023-07-01,17523,53.806,18.469,0.01119,17.018,725.0,312.0,37.0,44.0,1.2229
LAX,2023-08-01,17683,53.806,15.723,0.0095,17.815,861.0,351.0,37.0,44.0,1.2229
LAX,2023-09-01,16152,54.067,12.151,0.00539,18.144,761.0,320.0,37.0,44.0,1.2288
LAX,2023-10-01,16823,51.71,11.106,0.00244,18.301,778.0,249.0,37.0,44.0,1.1752
LAX,2023-11-01,15742,50.433,8.455,0.00133,18.471,662.0,197.0,37.0,44.0,1.1462
LAX,2023-12-01,15948,51.161,10.753,0.00182,19.243,637.0,223.0,37.0,44.0,1.1628
LAX,2024-01-01,15228,47.548,13.08,0.03093,18.127,475.0,112.0,37.0,44.0,1.0806
LAX,2024-02-01,14154,46.759,12.982,0.00466,18.587,464.0,94.0,37.0,44.0,1.0627
LAX,2024-03-01,15916,45.323,15.047,0.0044,19.621,446.0,47.0,37.0,44.0,1.0301
LAX,2024-04-01,15718,49.033,13.734,0.00274,19.52,523.0,158.0,37.0,44.0,1.1144
LAX,2024-05-01,16587,55.323,17.102,0.00549,19.459,670.0,351.0,37.0,44.0,1.2573
LAX,2024-06-01,16676,58.567,15.909,0.00612,20.042,790.0,440.0,37.0,44.0,1.3311
LAX,2024-07-01,17518,57.355,18.792,0.0242,19.044,900.0,468.0,37.0,44.0,1.3035
LAX,2024-08-01,17177,53.645,13.456,0.00763,17.618,836.0,356.0,37.0,44.0,1.2192
LAX,2024-09-01,15969,49.9,10.054,0.00213,17.463,577.0,193.0,37.0,44.0,1.1341
LAX,2024-10-01,16856,49.387,8.898,0.00303,18.879,682.0,235.0,37.0,44.0,1.1224
LAX,2024-11-01,15759,52.033,9.931,0.00235,17.52,723.0,305.0,37.0,44.0,1.1826
LAX,2024-12-01,16495,51.097,13.287,0.0037,18.052,669.0,260.0,37.0,44.0,1.1613
LGA,2023-01-01,13479,36.032,15.945,0.02211,23.711,221.0,85.0,34.0,36.0,1.0009
LGA,2023-02-01,13203,36.929,13.96,0.02325,24.926,194.0,84.0,34.0,36.0,1.0258
LGA,2023-03-01,14763,37.581,14.104,0.01903,24.268,264.0,104.0,34.0,36.0,1.0439
LGA,2023-04-01,13816,37.233,16.861,0.02063,23.141,235.0,104.0,34.0,36.0,1.0343
LGA,2023-05-01,14517,36.129,8.596,0.004,22.877,157.0,29.0,34.0,36.0,1.0036
LGA,2023-06-01,13568,36.033,22.282,0.06375,24.715,95.0,37.0,34.0,36.0,1.0009
LGA,2023-07-01,13377,34.903,26.19,0.08702,25.921,64.0,32.0,34.0,36.0,0.9695
LGA,2023-08-01,14074,36.452,14.577,0.02089,23.162,125.0,45.0,34.0,36.0,1.0125
LGA,2023-09-01,13372,35.167,19.735,0.0602,26.199,96.0,35.0,34.0,36.0,0.9769
LGA,2023-10-01,13861,36.387,8.519,0.00166,21.233,137.0,67.0,34.0,36.0,1.0108
LGA,2023-11-01,13264,36.333,7.278,0.00075,22.189,115.0,54.0,34.0,36.0,1.0093
LGA,2023-12-01,12432,34.742,11.009,0.0078,21.23,72.0,25.0,34.0,36.0,0.9651
LGA,2024-01-01,12700,33.419,18.021,0.04583,23.124,33.0,0.0,34.0,36.0,0.9283
LGA,2024-02-01,12644,33.138,11.551,0.02056,22.454,17.0,0.0,34.0,36.0,0.9205
LGA,2024-03-01,13366,33.194,12.544,0.00374,21.494,10.0,0.0,34.0,36.0,0.922
LGA,2024-04-01,13515,34.933,13.177,0.01413,22.317,82.0,8.0,34.0,36.0,0.9704
LGA,2024-05-01,14093,35.516,17.479,0.01611,23.465,117.0,19.0,34.0,36.0,0.9866
LGA,2024-06-01,13562,36.233,19.612,0.0348,24.304,131.0,32.0,34.0,36.0,1.0065
LGA,2024-07-01,14343,36.516,25.384,0.05375,26.682,179.0,58.0,34.0,36.0,1.0143
LGA,2024-08-01,14136,36.806,22.446,0.07675,27.201,194.0,65.0,34.0,36.0,1.0224
LGA,2024-09-01,13549,35.667,7.519,0.00421,23.019,127.0,39.0,34.0,36.0,0.9907
LGA,2024-10-01,14154,35.0,8.204,0.00636,22.286,124.0,13.0,34.0,36.0,0.9722
LGA,2024-11-01,13365,35.267,7.675,0.0012,21.687,86.0,40.0,34.0,36.0,0.9796
LGA,2024-12-01,13005,34.194,15.667,0.00346,23.439,67.0,30.0,34.0,36.0,0.9498
MCO,2023-01-01,13333,36.806,20.217,0.0171,17.66,144.0,65.0,33.0,35.0,1.0516
MCO,2023-02-01,12400,37.643,14.599,0.00798,17.48,153.0,78.0,33.0,35.0,1.0755
MCO,2023-03-01,14593,37.871,23.383,0.01473,19.602,238.0,109.0,33.0,35.0,1.082
MCO,2023-04-01,14085,38.1,23.823,0.01569,19.391,273.0,131.0,33.0,35.0,1.0886
MCO,2023-05-01,13983,38.258,19.259,0.00544,18.474,241.0,118.0,33.0,35.0,1.0931
MCO,2023-06-01,13216,36.633,35.852,0.02694,21.147,184.0,67.0,33.0,35.0,1.0467
MCO,2023-07-01,13770,37.065,39.538,0.02912,22.315,223.0,95.0,33.0,35.0,1.059
MCO,2023-08-01,13360,35.387,26.943,0.01699,18.246,114.0,38.0,33.0,35.0,1.0111
MCO,2023-09-01,12265,34.533,22.148,0.01321,18.403,105.0,39.0,33.0,35.0,0.9867
MCO,2023-10-01,13927,35.355,12.333,0.00574,17.199,116.0,38.0,33.0,35.0,1.0101
MCO,2023-11-01,14325,38.867,12.568,0.00161,18.077,300.0,157.0,33.0,35.0,1.1105
MCO,2023-12-01,15112,38.161,15.427,0.00337,18.161,346.0,163.0,33.0,35.0,1.0903
MCO,2024-01-01,14296,38.581,20.122,0.02924,19.337,297.0,152.0,33.0,35.0,1.1023
MCO,2024-02-01,13577,36.931,12.626,0.00302,18.232,239.0,103.0,33.0,35.0,1.0552
MCO,2024-03-01,15650,37.129,23.771,0.01534,20.971,303.0,106.0,33.0,35.0,1.0608
MCO,2024-04-01,14178,38.0,15.884,0.01136,17.079,199.0,100.0,33.0,35.0,1.0857
MCO,2024-05-01,13837,36.032,22.039,0.00889,18.638,130.0,46.0,33.0,35.0,1.0295
MCO,2024-06-01,13175,36.467,26.06,0.01146,18.493,142.0,55.0,33.0,35.0,1.0419
MCO,2024-07-01,13337,36.742,30.996,0.02609,19.915,192.0,73.0,33.0,35.0,1.0498
MCO,2024-08-01,12173,35.742,24.738,0.03089,19.041,136.0,71.0,33.0,35.0,1.0212
MCO,2024-09-01,10764,32.3,9.937,0.00446,18.076,20.0,10.0,33.0,35.0,0.9229
MCO,2024-10-01,12289,33.065,8.975,0.0756,16.456,53.0,14.0,33.0,35.0,0.9447
MCO,2024-11-01,12656,35.333,9.235,0.00213,16.697,135.0,55.0,33.0,35.0,1.0095
MCO,2024-12-01,13621,37.581,16.939,0.00352,17.195,265.0,140.0,33.0,35.0,1.0737
MDW,2023-01-01,6498,24.806,17.391,0.04448,15.779,251.0,126.0,19.0,21.0,1.1813
MDW,2023-02-01,5850,25.429,9.576,0.02957,13.279,226.0,127.0,19.0,21.0,1.2109
MDW,2023-03-01,7071,23.581,13.654,0.01584,14.17,225.0,106.0,19.0,21.0,1.1229
MDW,2023-04-01,6829,24.367,18.024,0.01054,12.856,207.0,107.0,19.0,21.0,1.1603
MDW,2023-05-01,7336,24.484,12.371,0.00245,12.744,198.0,109.0,19.0,21.0,1.1659
MDW,2023-06-01,7337,21.467,18.74,0.00709,13.285,75.0,19.0,19.0,21.0,1.0222
MDW,2023-07-01,7942,21.452,28.554,0.01851,14.479,147.0,23.0,19.0,21.0,1.0215
MDW,2023-08-01,7890,22.774,16.426,0.01217,13.618,275.0,81.0,19.0,21.0,1.0845
MDW,2023-09-01,7109,22.233,12.96,0.00619,14.141,151.0,46.0,19.0,21.0,1.0587
MDW,2023-10-01,7653,22.258,12.168,0.00065,13.86,168.0,55.0,19.0,21.0,1.0599
MDW,2023-11-01,6745,21.467,8.89,0.00104,13.588,120.0,24.0,19.0,21.0,1.0222
MDW,2023-12-01,6836,20.968,14.957,0.0275,13.697,96.0,6.0,19.0,21.0,0.9985
MDW,2024-01-01,5886,21.613,17.796,0.08342,16.718,144.0,51.0,19.0,21.0,1.0292
MDW,2024-02-01,5236,20.862,7.75,0.00191,12.909,129.0,45.0,19.0,21.0,0.9934
MDW,2024-03-01,6684,21.258,14.156,0.00658,12.997,108.0,24.0,19.0,21.0,1.0123
MDW,2024-04-01,6791,21.6,13.228,0.00265,12.983,104.0,31.0,19.0,21.0,1.0286
MDW,2024-05-01,6973,22.258,22.074,0.00645,14.206,145.0,48.0,19.0,21.0,1.0599
MDW,2024-06-01,7537,24.967,21.346,0.00398,13.89,380.0,200.0,19.0,21.0,1.1889
MDW,2024-07-01,7884,25.323,21.957,0.01319,13.713,464.0,249.0,19.0,21.0,1.2058
MDW,2024-08-01,7199,24.419,15.089,0.0082,14.521,423.0,224.0,19.0,21.0,1.1628
MDW,2024-09-01,6849,24.4,8.501,0.00321,13.986,398.0,210.0,19.0,21.0,1.1619
MDW,2024-10-01,6744,25.258,8.005,0.0086,12.769,354.0,198.0,19.0,21.0,1.2028
MDW,2024-11-01,5901,24.0,10.021,0.00339,13.578,228.0,122.0,19.0,21.0,1.1429
MDW,2024-12-01,5949,23.968,13.862,0.00487,14.236,205.0,104.0,19.0,21.0,1.1413
MIA,2023-01-01,8697,29.387,17.268,0.01196,19.174,284.0,64.0,23.0,28.0,1.0495
MIA,2023-02-01,8001,31.036,15.454,0.00537,19.255,262.0,85.0,23.0,28.0,1.1084
MIA,2023-03-01,8936,25.71,20.063,0.0056,20.567,117.0,0.0,23.0,28.0,0.9182
MIA,2023-04-01,8478,33.0,26.166,0.01227,22.622,541.0,249.0,23.0,28.0,1.1786
MIA,2023-05-01,8649,35.29,19.539,0.00335,20.204,444.0,241.0,23.0,28.0,1.2604
MIA,2023-06-01,8211,33.867,36.268,0.03349,23.62,494.0,185.0,23.0,28.0,1.2095
MIA,2023-07-01,8623,35.968,33.312,0.0218,22.299,562.0,264.0,23.0,28.0,1.2846
MIA,2023-08-01,8505,35.419,26.656,0.01728,22.117,530.0,237.0,23.0,28.0,1.265
MIA,2023-09-01,7554,31.6,22.037,0.01138,22.536,369.0,109.0,23.0,28.0,1.1286
MIA,2023-10-01,8159,32.032,11.765,0.00306,20.203,526.0,207.0,23.0,28.0,1.144
MIA,2023-11-01,8861,35.033,12.365,0.00034,19.342,558.0,244.0,23.0,28.0,1.2512
MIA,2023-12-01,9861,37.194,15.67,0.00101,22.078,676.0,312.0,23.0,28.0,1.3283
MIA,2024-01-01,10214,37.548,22.402,0.02526,22.673,808.0,383.0,23.0,28.0,1.341
MIA,2024-02-01,9548,37.759,16.05,0.00251,21.58,817.0,397.0,23.0,28.0,1.3485
MIA,2024-03-01,10533,38.581,28.681,0.02146,23.018,932.0,455.0,23.0,28.0,1.3779
MIA,2024-04-01,9590,35.133,17.839,0.00803,19.575,685.0,329.0,23.0,28.0,1.2548
MIA,2024-05-01,9503,31.29,26.539,0.00958,19.933,500.0,142.0,23.0,28.0,1.1175
MIA,2024-06-01,8553,33.633,34.7,0.04583,21.94,398.0,171.0,23.0,28.0,1.2012
MIA,2024-07-01,8733,32.387,32.402,0.02095,21.163,359.0,136.0,23.0,28.0,1.1567
MIA,2024-08-01,8459,31.968,32.57,0.04149,21.613,489.0,184.0,23.0,28.0,1.1417
MIA,2024-09-01,7603,32.9,12.426,0.00829,20.431,338.0,154.0,23.0,28.0,1.175
MIA,2024-10-01,8299,30.935,10.526,0.0188,17.249,369.0,93.0,23.0,28.0,1.1048
MIA,2024-11-01,8972,34.233,11.021,0.00123,18.032,515.0,218.0,23.0,28.0,1.2226
MIA,2024-12-01,9937,34.323,18.259,0.00463,22.157,841.0,333.0,23.0,28.0,1.2258
MSP,2023-01-01,9470,33.387,16.361,0.02999,25.391,146.0,78.0,29.0,31.0,1.077
MSP,2023-02-01,8637,31.964,11.944,0.04458,20.456,97.0,40.0,29.0,31.0,1.0311
MSP,2023-03-01,10303,33.774,12.361,0.01631,20.812,251.0,114.0,29.0,31.0,1.0895
MSP,2023-04-01,9930,35.133,11.351,0.01742,16.627,291.0,143.0,29.0,31.0,1.1333
MSP,2023-05-01,10244,37.226,6.572,0.00361,14.628,387.0,218.0,29.0,31.0,1.2008
MSP,2023-06-01,10470,31.4,13.339,0.01184,15.082,112.0,29.0,29.0,31.0,1.0129
MSP,2023-07-01,11138,31.742,15.874,0.01095,15.418,180.0,60.0,29.0,31.0,1.0239
MSP,2023-08-01,11271,32.742,11.977,0.00586,14.958,200.0,71.0,29.0,31.0,1.0562
MSP,2023-09-01,10226,33.3,10.65,0.0045,15.561,253.0,119.0,29.0,31.0,1.0742
MSP,2023-10-01,10650,33.484,8.943,0.00085,15.695,287.0,152.0,29.0,31.0,1.0801
MSP,2023-11-01,9776,31.867,6.192,0.00051,16.658,137.0,47.0,29.0,31.0,1.028
MSP,2023-12-01,9904,31.097,8.436,0.00464,19.438,85.0,21.0,29.0,31.0,1.0031
MSP,2024-01-01,9438,36.613,17.0,0.01854,21.549,278.0,196.0,29.0,31.0,1.1811
MSP,2024-02-01,8806,39.655,8.526,0.00329,18.767,348.0,267.0,29.0,31.0,1.2792
MSP,2024-03-01,10253,38.419,11.673,0.01053,18.733,320.0,230.0,29.0,31.0,1.2393
MSP,2024-04-01,10260,39.933,8.999,0.00185,15.907,396.0,292.0,29.0,31.0,1.2882
MSP,2024-05-01,10850,39.774,13.058,0.00332,16.008,553.0,368.0,29.0,31.0,1.283
MSP,2024-06-01,11265,35.133,21.075,0.00497,20.061,367.0,221.0,29.0,31.0,1.1333
MSP,2024-07-01,11786,33.323,25.203,0.04124,18.717,327.0,138.0,29.0,31.0,1.0749
MSP,2024-08-01,11736,33.129,15.491,0.00673,18.842,339.0,145.0,29.0,31.0,1.0687
MSP,2024-09-01,10687,33.6,6.488,0.00178,17.039,291.0,151.0,29.0,31.0,1.0839
MSP,2024-10-01,11050,34.516,6.121,0.00416,15.985,340.0,186.0,29.0,31.0,1.1134
MSP,2024-11-01,10177,34.433,7.214,0.00088,18.49,246.0,134.0,29.0,31.0,1.1108
MSP,2024-12-01,10471,32.161,16.297,0.00573,24.209,128.0,62.0,29.0,31.0,1.0375
ORD,2023-01-01,20086,76.258,16.247,0.01399,24.535,714.0,240.0,64.0,71.0,1.0741
ORD,2023-02-01,19329,78.75,13.908,0.01707,20.955,726.0,324.0,64.0,71.0,1.1092
ORD,2023-03-01,21905,78.968,13.803,0.01529,22.359,827.0,340.0,64.0,71.0,1.1122
ORD,2023-04-01,21185,72.933,17.16,0.02025,21.48,562.0,96.0,64.0,71.0,1.0272
